title,description,genre
A JUGGLER'S TALE,"A Juggler’s Tale is a cinematic puzzle-platformer. Play as Abby, the marionette, and make your way through a medieval fairy tale world to find freedom. Use the puppet’s strings in unique puzzles, find your way around obstacles, and evade the relentless cut-throats that are hot on your heels – while the puppet master holds the strings firmly in his hands. ""Ladies and Gentlemen! Come in, come in! In the mood for a story, are we?"" Abby is an artiste held captive at a circus: She spends her days entertaining the audience and her nights in a cage, longing for freedom. One day, she escapes the circus and gets to explore a mystical world. Alas, freedom comes at a cost and Abby soon finds herself dragged into the dangers this world has to offer: In a war-torn, medieval fairy tale, surrounded by ravaged, starving citizens and hunted by the relentless cut-throat Tonda, Abby has to cross raging rivers, make it through bandit camps and around traps. Her adventure is always accompanied by the lyrical rhymes of puppet master Jack, who tells her story while holding the strings of his puppets firmly in his ever-helpful hands. Who can Abby trust? Can she find a way to truly break free? Despite dangling from her threads, will Abby learn that she can still influence her destiny? ""Abby, Abby... Don't you see, the threads holding you up – also hold you back.""","Genre(s): Action, Adventure, General, Platformer, 2D"
A KING'S TALE: FINAL FANTASY XV,"Taking place in a fictitious 30 years before FINAL FANTASY XV, this game features retro-style inspired graphics centered around a fast-paced combat system with influences from modern gaming. The in-depth combat system blends intense attacks, devastating magic, mighty summons and unique companion attacks into a singular gaming experience through three diverse locations in the world of FINAL FANTASY XV. [Square Enix]","Genre(s): Action, Beat-'Em-Up, 2D"
A KNIGHT'S QUEST,"A gorgeous action adventure on an epic scale. Play as Rusty, a clumsy adventurer who accidentally sets about the end of the world. Solve mind-bending puzzles, fight challenging enemies, defeat huge bosses and platform your way through a fantastic open world.","Genre(s): Action Adventure, General, Open-World"
A LITTLE LILY PRINCESS,"Based on the classic novel A Little Princess by Frances Hodgson Burnett. A life simulation game of romance and friendship between girls.
In British-controlled India, Sara Crewe was raised like a princess by her doting Papa, always given the best of everything. Now that she is old enough, she must be sent away to boarding school in a foreign land, relying on her love of books and fairytales to help her make friends.
But not all smiles can be trusted, and fortune can turn cold and hard at any moment. What would happen to a little princess if she lost everything?
Choose activities to build Sara's resources and change the direction of the story. Which girl will she form the strongest emotional bond with? Your decisions lead to six possible endings.","Genre(s): Adventure, Visual Novel"
A MEMOIR BLUE,A song from years ago triggers a flood of memories for champion swimmer Miriam. Embark on an evocative journey through her turbulent childhood and the complicated relationship she shared with her devoted mother.,"Genre(s): Adventure, General, 3D, Third-Person"
A MUSICAL STORY,"A Musical Story is a rhythm game set against a 70s backdrop. Explore the memories of Gabriel, a young man trying to come to terms with his situation through the connections to his musical memory.","Genre(s): Action, Rhythm, Music"
A PIXEL STORY,"In a world hidden deep inside your computer, an unlikely hero is about to appear. A tale of platforms and perils; of magical teleporting hats and sarcastic software; of thieving seagulls and maniacal operators. It’s no fairy tale… it’s a pixel story. [Xbox.com]","Genre(s): Action, Platformer, 2D"
A PLACE FOR THE UNWILLING,"A branching narrative adventure set in the final 21 days of a dying city. Every decision you make will shape your surroundings, and the city's fate. However, the clock is ticking - and the city carries on, with or without you. Speak to everyone from eerie politicians to chain-smoking child anarchists. Work as a trader, socialise, explore the town freely, and play a role in the city's hierarchy. Combining exquisite narrative depth and exploration with a curious setup - plus a dash of Lovecraft - A Place for the Unwilling is a rich narrative experience where player choices really do count, set in a Dickensian world of colour and Eldritch nightmares.","Genre(s): Adventure, General"
A PLAGUE TALE: INNOCENCE,"A Plague Tale: Innocence offers an adventure supported by an original scenario, with gameplay that blends action, adventure and stealth phases. Follow our protagonists Amicia and her little brother Hugo, both orphans and on the run from the terrifying Inquisition. Our young heroes will also need to survive against an even greater danger: supernatural swarms of rats that appeared with the great plague infecting across cities and countryside. [Focus Home Interactive]","Genre(s): Action Adventure, General, Linear"
A PRETTY ODD BUNNY,"A Pretty Odd Bunny is a stealth platformer about a rabbit who likes eating Pigs.

You play as a red-eyed rabbit and help him reach the pig at the end of the levels without letting other rabbits see you!

Find the right path through the levels so your fellow bunnies don't see you. They don't approve of your food choices and will try to stop you if they see your intentions.

Explore more than 80 levels in 4 unique worlds, collect hidden coins, unlock extra challenges with cute characters, gorey action, blood, and a lot of severed pig's heads.","Genre(s): Action, Platformer, 2D"
A SHORT HIKE,"Hike, climb, and soar through the peaceful mountainside landscapes of Hawk Peak Provincial Park. Follow the marked trails or explore the backcountry as you make your way to the summit. Along the way, meet other hikers, discover hidden treasures, and take in the world around you.","Genre(s): Adventure, General"
A SKETCHBOOK ABOUT HER SUN,"Confused about her feelings for someone, Lucia, the main character, decides to flee from her city and wanders through a smaller town where she's never been, searching for herself while still tormented by the thought of the person she's attracted to.

The project is an interactive experience divided into 11 segments, each corresponding to a song from Red Ribbon's new album ""Planet X"".

Lose yourself into Lucia's mindscape, divided between her thoughts, drawings and music she's listening to through her journey to re-discover her own self.","Genre(s): Adventure, Visual Novel"
A SPACE FOR THE UNBOUND,"A Space For The Unbound is a slice-of-life adventure game with beautiful pixel art set in the late 90s rural Indonesia that tells a story about overcoming anxiety, depression, and the relationship between a boy and a girl with supernatural powers.

Follow two high school sweethearts, Atma and Raya, on a journey of self-discovery at the end of their high school years. When a mysteriously supernatural power is suddenly unleashed threatening their existence, they must explore and investigate their town to uncover hidden secrets, face the end of the world, and perhaps learn more about each other.","Genre(s): Adventure, General"
A SUMMER WITH THE SHIBA INU,"When Syd the Shiba Inu returns to Shiba Island after a ten-year absence, she sets off a chain of events that overturns the lives of all the dogs she had left behind. She gets back in touch with her old friend, Max, and along the way meets a mysterious Labrador retriever named Quei-Li. (What's a Lab doing on the Island, anyway?) They are her only remaining allies as she tries to survive the past that made her leave the Island in the first place.

Your choices matter - there are multiple drastic ways to change the fate of Shiba Island, with 10+ variants depending on how you treat the dogs you meet along the way.","Genre(s): Adventure, Visual Novel"
