title,description,genres
BACK TO BED,"Bob the sleepwalker has a habit of always falling asleep in hazardous places.

Luckily for Bob, his subconscious protector, Subob, is always ready to save him. Now the challenge for Subob is to guide Bob to safety, across rooftops, avoiding falls, and around dangerous creatures from the nightmares of Bob.","Genre(s): Puzzle, Action, General"
BADLAND: GAME OF THE YEAR EDITION,"Fly and survive through the Game-of-the-Year- winning world of BADLAND and discover an astonishing number of imaginative traps, puzzles and obstacles on the way. BADLAND is a multi-award-winning side-scrolling action adventure with innovative physics-based gameplay and stunning atmospheric graphics and audio. BADLAND: Game of the Year Edition has been redesigned for the Xbox One with new analog stick controls and gorgeous Full-HD visuals. The GOTY edition also offers loads of local multiplayer fun: up to four players can compete against each other on 27 different deathmatch stages or work together to survive through all 100 levels of the co-op campaign. Features: - Side-scrolling action adventure with innovative physics-based gameplay - Over 15 hours and 100 levels of single-player story - Up-to-4 player local multiplayer awesomeness with co-op & deathmatch.","Genre(s): Action, Action Adventure, Arcade, Linear"
BAILA LATINO,"A fun dance game for all your family and friends!

Latin American music is suitable for all ages, and makes children and adults dance, creating an atmosphere of great amusement in front of the TV. There are 20 hit songs to choose from, and the game's choreography has been created by professional dancers, Carlo Romano and Vera Sokolova from the Carolyn Smith Dance Academy.

You can play alone or with friends, up to four players at the same time. The lyrics of the song will appear on the Wii U GamePad, so while you are dancing, others can sing!","Genre(s): Action, Rhythm, Dancing"
BALLPOINT UNIVERSE: INFINITE,"Ballpoint Universe is a side-scrolling shooter / platform adventure game about a doodle named Doodle. Every bit of the game has been drawn with a ballpoint pen to build immaculate environments.

Classic space shooter gameplay! Shoot and dodge through a hell-storm of enemies to obliterate the deranged doodles and the Logician scourge. Fight for the future of creativity itself! Explore doodle realms, meet intriguing, eccentric characters, get hints and items to aid your quest. Upgrades! Fully fledged 4 slot customization system; customize your ship with the gear you acquire along your journey. Equip for the needs for a certain mission; do you need a shield and sword? sword and gun? Gun and gun? Exploit the enemy fleet's weaknesses and overcome their systematic genocide of imagination!","Genre(s): Action, General, General, Shooter, Shoot-'Em-Up, Horizontal"
BARBIE AND HER SISTERS: PUPPY RESCUE,Join Barbie and her sisters in coming to the aid of wayward puppies.,"Genre(s): Action, Simulation, General, Virtual, Pet"
BARBIE DREAMHOUSE PARTY,"Join Barbie and her friends for an adventure that will take fans behind pink doors into the fantastic world of the Dreamhouse! Based on the popular Barbie Life in the Dreamhouse web series, dolls everywhere will get a chance to explore the Dreamhouse and play fabulous mini games.","Genre(s): Miscellaneous, Adventure, General, General, Party / Minigame"
BATMAN: ARKHAM CITY - ARMORED EDITION,"Developed by WB Games Montreal, Batman: Arkham City Armored Edition is the enhanced version of the game created by Rocksteady Studios. The Wii U version delivers the same impactful story and gameplay as the original title, this time with enhanced gameplay mechanics and features made possible with the Wii U and its unique GamePad. Batman: Arkham City is set in the new maximum security “home” for all of Gotham City’s thugs, gangsters and insane criminal masterminds. Featuring an vast Rogues Gallery of Gotham City’s most dangerous criminals including Catwoman, The Joker, The Riddler, Two-Face, Harley Quinn, The Penguin, Mr. Freeze and many others, the game allows players to genuinely experience what it feels like to be The Dark Knight delivering justice on the streets of Gotham City.","Genre(s): Action Adventure, Fantasy, Fantasy, Open-World"
BATMAN: ARKHAM ORIGINS,"Batman: Arkham Origins features an expanded Gotham City and introduces an original prequel storyline set several years before the events of Batman: Arkham Asylum and Batman: Arkham City, the first two games in the franchise. Taking place before the rise of Gotham City’s most notorious criminals, the game showcases a young, unrefined Batman as he faces the defining moment of his early career and sets his path to becoming the Dark Knight.","Genre(s): Action Adventure, Fantasy, Fantasy, Open-World"
BATMAN: ARKHAM ORIGINS BLACKGATE - DELUXE EDITION,"Blackgate Prison Is Under New Management

Batman: Arkham Origins Blackgate - Deluxe Edition amplifies the 2.5-D game with new maps, enemy encounters, difficulty levels, batsuits, and enhanced visuals. A companion game to Batman: Arkham Origins, players can continue the storyline of the console version and discover more details of the Dark Knights past. Featuring stealth gameplay, free-flow combat, and Batmans famed arsenal of gadgets, the genuine Arkham experience is reproduced in a deep, action packed side-scrolling adventure.","Genre(s): Action, Action Adventure, General, Platformer, Fantasy,"
BAYONETTA,"Bayonetta is a cinematic and stylish action game from the creative mind of Hideki Kamiya. As a gun-wielding witch with powers beyond the comprehension of mere mortals, Bayonetta faces-off against countless enemies in a game of 100% pure all-out action. Outlandish finishing moves are performed with acrobatic grace as Bayonetta flows from one fight to another. Bayonetta pushes the limits of the action genre with magnificent over-the-top action and fast-paced, dynamic climax combat.","Genre(s): Action, Fantasy, Beat-'Em-Up, Action Adventure, Linear"
BAYONETTA + BAYONETTA 2,"The Witch is Back

The witching hour strikes again. Brimming with intricate battles that take place in, on and all over epic set pieces, Bayonetta 2 finds our sassy heroine battling angels and demons in unearthly beautiful HD. You're bound to love how it feels to string together combos with unimaginable weapons and to summon demons using Bayonetta's Wicked Weave in this frantic stylized action game. Bayonetta 2 is a Wii U exclusive. Bayonetta comes packed in with the purchase of every retail packaged version of Bayonetta 2.

Features:
-Initiate the new Umbran Climax technique to temporarily summon demons and boost Bayonetta's attack power and range whenever you fill her magic gauge.
-Fight with new over-the-top weapons that open new possibilities to the way you battle, including the Kafka, a bow that shoots poisonous arrows; the Rakshasa, a pair of beautiful katana blades; and a giant rifle-inspired scythe known as the Chernobog.
-Team up with a friend in Tag Climax, a two-player online co-op mode. Enjoy a little friendly competition by trying to deal the most damage as you work together to take down angels and demons.
-In online quick matches, you can wager halos, the in-game currency that you earn by defeating enemies. You receive a large sum back if you can prove you're a better fighter than your partner. Halos can then be traded in a story mode shop to unlock new techniques, buy accessories and pick up alternate weapon variations.
-Every chapter ends with a medal ranking: Stone, Bronze, Silver, Gold, Platinum or Pure Platinum. The more skilled you are, the higher your ranking.
-This game is approachable for players of all levels, with settings of three difficulty levels. Through Touch Play, you can play with the GamePad stylus and touch screen, regardless of which difficulty you choose.","Genre(s): Miscellaneous, Compilation"
